,title,director,cast,country,date_added_netflix,release_year,rating,duration,listed_in,description,rotten_rate,netflix,hulu,prime,disney,date_added_amazon,date_added_hulu,date_added_disney
205,The Four Seasons,Alan Alda,"Alan Alda, Carol Burnett, Len Cariou, Sandy Dennis, Rita Moreno, Jack Weston, Bess Armstrong, Elizabeth Alda, Beatrice Alda",United States,2021-06-02,1981,PG,108 min,"Comedies, Romantic Movies","Three middle-aged couples vacation together every season until one of the men ditches his wife for a younger woman, tilting the group's dynamics.",58,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
206,The Girl King,Mika Kaurismäki,"Malin Buska, Sarah Gadon, Michael Nyqvist, Lucas Bryant, Laura Birn, Hippolyte Girardot, Peter Lohmeyer, François Arnaud, Patrick Bachau, Ville Virtanen, Martina Gedeck",No Data,2021-06-02,2015,TV-MA,106 min,"Dramas, International Movies, LGBTQ Movies","Sweden's forward-thinking Queen Kristina resists her country's conservative ideals, which only grow more restrictive when she falls for a woman.",57,1,1,1,0,1970-01-01,2020-02-01,1970-01-01
207,The Interpreter,Sydney Pollack,"Nicole Kidman, Sean Penn, Catherine Keener, Jesper Christensen, Yvan Attal, Earl Cameron, George Harris, Michael Wright, Clyde Kusatsu, Eric Keenleyside, Hugo Speer","United Kingdom, France, Germany, United States",2021-06-02,2005,PG-13,128 min,Thrillers,Silvia Broome is a translator at the United Nations. But her job turns perilous when she overhears a plot to assassinate a government official.,69,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
208,The Mirror Has Two Faces,Barbra Streisand,"Barbra Streisand, Jeff Bridges, Lauren Bacall, George Segal, Mimi Rogers, Pierce Brosnan, Brenda Vaccaro, Austin Pendleton, Elle Macpherson, Ali Marsh, Leslie Stefanson, Taina Elg, Lucy Avery Brooke, Amber Smith",United States,2021-06-02,1996,PG-13,127 min,"Comedies, Dramas, Romantic Movies","Tired of being single, middle-aged professor Rose Morgan accepts her colleague's proposal – but her colleague only wants a platonic marriage.",64,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
209,The Outlaw Josey Wales,Clint Eastwood,"Clint Eastwood, Sondra Locke, Chief Dan George, Bill McKinney, John Vernon, Paula Trueman, Sam Bottoms, Geraldine Keams, Woodrow Parfrey, Joyce Jameson",United States,2021-06-02,1976,PG,136 min,"Action & Adventure, Classic Movies","In this gritty Oscar-nominated Western, an ex-Confederate soldier on the run comes to rest in a quiet community, where he falls for a pretty settler.",76,1,0,0,0,1970-01-01,2020-12-31,1970-01-01
210,The Wind,Emma Tammi,"Caitlin Gerard, Julia Goldani Telles, Ashley Zukerman, Miles Anderson, Dylan McTee",United States,2021-06-02,2019,R,88 min,Horror Movies,"Isolated on a wind-ravaged 19th-century homestead, a frontierswoman begins to suspect that evil lurks in the terrifying emptiness all around her.",62,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
211,Then Came You,Peter Hutchings,"Asa Butterfield, Maisie Williams, Nina Dobrev, Ken Jeong, Tyler Hoechlin, David Koechner, Peyton List, Tituss Burgess",United States,2021-06-02,2019,TV-MA,97 min,"Comedies, Dramas, Independent Movies",A hypochondriac confronts his fear of death when a terminally ill teen girl enlists him to help her complete her bucket list.,66,1,0,0,0,1970-01-01,2020-12-27,1970-01-01
212,Welcome Home,George Ratliff,"Aaron Paul, Emily Ratajkowski, Riccardo Scamarcio, Katy Louise Saunders, Alice Bellagamba",United States,2021-06-02,2018,R,97 min,Thrillers,"A couple rents a villa in Italy hoping to mend their bruised relationship, but the devilishly charming homeowner can’t seem to leave them alone.",61,1,0,0,0,1970-01-01,2020-10-01,1970-01-01
213,Bo Burnham: Inside,Bo Burnham,Bo Burnham,United States,2021-05-30,2021,TV-MA,88 min,Stand-Up Comedy,"A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year.",81,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
214,One Lagos Night,Ekene Som Mekwunye,"Frank Donga, Gold Ikponmwosa, Ali Nuhu, Eniola Badmus, Ogbolor, Genoveva Umeh, Gbubemi Ejeye, Ajayi Akorede, Serge Noujaim",No Data,2021-05-29,2021,TV-14,103 min,"Comedies, International Movies","A desperate man attempts to burglarize the home of a wealthy woman, but finds himself face-to-face with a crew of armed robbers who have the same idea.",44,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
215,Collateral Beauty,David Frankel,"Will Smith, Edward Norton, Kate Winslet, Michael Peña, Helen Mirren, Naomie Harris, Keira Knightley, Jacob Latimore, Ann Dowd, Liza Colón-Zayas",United States,2021-05-28,2016,PG-13,97 min,Dramas,An advertising executive wrestling with grief finds meaning by writing letters to unconventional recipients as caring colleagues plot a ruse.,75,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
216,Blue Miracle,Julio Quintana,"Jimmy Gonzales, Dennis Quaid, Anthony Gonzalez, Bruce McGill, Raymond Cruz, Nathan Arenas, Miguel Angel Garcia, Isaac Arellanes, Steve Gutierrez, Dana Wheeler-Nicholson, Fernanda Urrejola, Silverio Palacios",United States,2021-05-27,2021,TV-PG,97 min,"Children & Family Movies, Dramas, Faith & Spirituality","To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.",67,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
