,title,director,cast,country,date_added_netflix,release_year,rating,duration,listed_in,description,rotten_rate,netflix,hulu,prime,disney,date_added_amazon,date_added_hulu,date_added_disney
4835,Behind You,No Data,No Data,United States,1970-01-01,2020,R,86 min,Horror,"Two young sisters find that all the mirrors in her house are covered or hidden. When one of the sisters happens upon a mirror in the basement, she unknowingly releases a malicious demon that had haunted her mother and aunt years ago.",52,0,1,0,0,1970-01-01,2020-08-16,1970-01-01
4836,Bernie the Dolphin 2,No Data,No Data,"Canada, United States",1970-01-01,2019,G,99 min,"Comedy, Kids","The kids are thrilled that Bernie has come back. But so has their old enemy Winston, who's about to kidnap the talented dolphin. Kevin and Holly must rescue their splashy friend before it's too late.",42,0,1,0,0,1970-01-01,2020-08-14,1970-01-01
4837,Lucky Day,No Data,No Data,"France, Canada",1970-01-01,2019,R,99 min,"Action, Thriller","After being released from prison, a safecracker tries to protect his family from a psychopathic contract killer who's seeking revenge.",53,0,1,0,0,1970-01-01,2020-08-10,1970-01-01
4838,Slay the Dragon,No Data,No Data,United States,1970-01-01,2019,PG-13,104 min,"Black Stories, Documentaries",Activists work to rid gerrymandering from America's election process.,48,0,1,0,0,1970-01-01,2020-08-06,1970-01-01
4839,The Peanut Butter Falcon,No Data,No Data,United States,1970-01-01,2019,PG-13,97 min,"Action, Adventure, Comedy","Shia LaBeouf, Dakota Johnson, and Zack Gottsagen star in ""a modern-day Mark Twain fable that will melt your heart"" (Flickering Myth).",78,0,1,0,0,1970-01-01,2020-08-06,1970-01-01
4840,Dora and the Lost City of Gold,No Data,No Data,"United States, Mexico, Australia",1970-01-01,2019,PG,102 min,"Adventure, Comedy, Kids","Having spent most of her life exploring the jungle, nothing could prepare Dora for her most dangerous adventure yet – high school. Accompanied by a ragtag group of teens and Boots the monkey, Dora embarks on a quest to save her parents while trying to solve the seemingly impossible mystery behind a lost Incan civilization.",68,0,1,0,0,1970-01-01,2020-08-03,1970-01-01
4841,Ordinary Love,No Data,No Data,United Kingdom,1970-01-01,2019,R,92 min,"Drama, Romance","Joan and Tom are an everyday couple with a remarkable love. When Joan is diagnosed with breast cancer, the course of her treatment shines a light on their enduring devotion, as they must find the humor and grace to survive a year of adversity.",60,0,1,0,0,1970-01-01,2020-08-03,1970-01-01
4843,'71,No Data,No Data,United Kingdom,1970-01-01,2014,R,99 min,"Action, Adventure, Drama","Jack O'Connell is a British solider accidentally abandoned on the streets of Belfast in 1971. Alone, he must survive the night within enemy lines.",71,0,1,0,0,1970-01-01,2020-08-01,1970-01-01
4848,Sordid Lives,No Data,No Data,United States,1970-01-01,2000,R,111 min,"Comedy, LGBTQ+","In this cult classic comedy from writer-director Del Shores, a gay West Hollywood actor returns home to his small Texas town for his grandmother’s funeral.",56,0,1,0,0,1970-01-01,2020-08-01,1970-01-01
4849,The Last Stand,No Data,No Data,United States,1970-01-01,2013,R,107 min,"Action, Adventure","After leaving the LAPD wracked with remorse and regret, Sheriff Ray Owens (Schwarzenegger) moved to a sleepy border town that now stands between Gabriel Cortez (Eduardo Noriega), the most notorious drug kingpin in the world and his freedom.",70,0,1,0,0,1970-01-01,2020-08-01,1970-01-01
4853,Good Deeds,No Data,No Data,United States,1970-01-01,2012,TV-14,110 min,"Black Stories, Drama, Romance","For all his life, wealthy businessman Wesley Deeds (Tyler Perry) has done what's expected of him and has settled into a predictable routine. His life begins to change, however, when he meets Lindsey Wakefield (Thandie Newton), a struggling single mother who has just been evicted. Wesley offers to help Lindsey get back on her feet and, though he's already engaged, romantic sparks begin to fly. Suddenly, Wesley finds himself torn between what is expected of him and what he really wants.",57,0,1,0,0,1970-01-01,2020-07-27,1970-01-01
4859,The Current Occupant,No Data,No Data,United States,1970-01-01,2020,TV-MA,86 min,Horror,A man with no memory comes to believe that he's the president of the United States and the subject of a diabolical political conspiracy.,49,0,1,0,0,1970-01-01,2020-07-17,1970-01-01
4860,We Are Freestyle Love Supreme,No Data,No Data,United States,1970-01-01,2020,TV-MA,86 min,"Documentaries, Music","Well before the world knew of the Tony award-winning Broadway musicals Hamilton and In The Heights, Lin-Manuel Miranda was in an improvisational hip-hop group called Freestyle Love Supreme along with director Thomas Kail and performers Christopher Jackson and Anthony Veneziale. Filmmaker Andrew Fried began chronicling the group in the summer of 2005, documenting the early days of Freestyle Love Supreme beatboxing and rapping on the sidewalks – unaware of how their story would unfold. Fourteen years later, Fried captures them reuniting for a series of shows in New York City that led to a triumphant run on Broadway. Both poignant and inspired, We Are Freestyle Love Supreme recalls the creative dreams of youth and why this show still means so much to these accomplished performers.",64,0,1,0,0,1970-01-01,2020-07-17,1970-01-01
4861,Superpower Dogs,No Data,No Data,United Kingdom,1970-01-01,2019,G,46 min,"Documentaries, Kids","Follow six dogs and their human partners as they brave earthquakes and avalanches, protect endangered species and help people with special needs.",56,0,1,0,0,1970-01-01,2020-07-11,1970-01-01
4863,The House That Jack Built,No Data,No Data,"Denmark, France, Sweden, Germany, Belgium, Tunisia",1970-01-01,2018,R,151 min,"Crime, Drama, Horror",Jack is a serial killer who views each murder as a work of art.,73,0,1,0,0,1970-01-01,2020-07-02,1970-01-01
4864,Citizen Soldier,No Data,No Data,United States,1970-01-01,2016,R,105 min,Documentaries,"The true story of some soldiers in a United States Army Infantry Company, part of the Oklahoma National Guard's 45th Thunderbirds Brigade, and their life-changing tour of duty in Afghanistan.",51,0,1,0,0,1970-01-01,2020-07-01,1970-01-01
4866,Rebel in the Rye,No Data,No Data,United States,1970-01-01,2017,PG-13,109 min,"Drama, History",A young J.D. Salinger struggles to find his voice in his life.,66,0,1,0,0,1970-01-01,2020-07-01,1970-01-01
4867,The Hornet's Nest,No Data,No Data,"Afghanistan, United States",1970-01-01,2014,R,97 min,Documentaries,Journalists Mike and Carlos Boettcher follow U.S. troops during nine harrowing days of combat in Afghanistan.,58,0,1,1,0,1970-01-01,2020-07-01,1970-01-01
4868,Mission: Impossible - Ghost Protocol,No Data,No Data,United States,1970-01-01,2011,TV-14,128 min,"Action, Adventure","When the IMF is disavowed after being implicated in the bombing of the Kremlin, Ethan Hunt and the remaining team must go underground and across the globe to clear the organization's name. Presented by FXM",81,0,1,0,0,1970-01-01,2020-06-30,1970-01-01
4871,XX,No Data,No Data,"Canada, United States, Mexico",1970-01-01,2017,R,81 min,Horror,Four dark horror stories by women: Annie Clark with THE BIRTHDAY PARTY; Karyn Kusama exorcises HER ONLY LIVING SON; Roxanne Benjamin screams DON’T FALL; and Jovanka Vuckovic dares to open THE BOX. Award-winning Sofia Carrillo wraps it all together.,57,0,1,0,0,1970-01-01,2020-06-22,1970-01-01
4872,Crawl,No Data,No Data,"United States, Serbia, Canada",1970-01-01,2019,R,87 min,"Horror, Thriller","A young woman, while attempting to save her father during a Category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.",72,0,1,0,0,1970-01-01,2020-06-18,1970-01-01
4873,Pan,No Data,No Data,"United States, United Kingdom, Australia",1970-01-01,2015,PG,112 min,"Action, Adventure, Family",Hugh Jackman stars in this magical adaptation of 'Peter Pan' that finds Peter up against devious pirate Blackbeard.,66,0,1,0,0,1970-01-01,2020-06-14,1970-01-01
4874,Child's Play,No Data,No Data,"Canada, United States",1970-01-01,2019,R,90 min,"Horror, Thriller","A contemporary re-imagining of the 1988 horror classic, ""Child's Play"" follows Karen, a single mother who gifts her son Andy a Buddi doll, unaware of its more sinister nature.",67,0,1,1,0,1970-01-01,2020-06-12,1970-01-01
4875,Clemency,No Data,No Data,United States,1970-01-01,2019,R,112 min,"Black Stories, Drama","Years of carrying out death row executions have taken a toll on prison warden Bernadine Williams (Alfre Woodard). As she prepares to execute another inmate, Bernadine must confront the psychological and emotional demons her job creates.",60,0,1,0,0,1970-01-01,2020-06-12,1970-01-01
4876,Good Boy,No Data,No Data,United States,1970-01-01,2020,TV-MA,89 min,"Horror, Thriller","When Maggie gets an emotional support dog to help quell some of her anxiety, she finds him to be even more effective than she imagined... because he kills anyone who adds stress to her life.",52,0,1,0,0,1970-01-01,2020-06-12,1970-01-01
4877,A Beautiful Planet,No Data,No Data,United States,2021-04-01,2016,G,46 min,"Documentaries, Kids","A Beautiful Planet is a breathtaking portrait of Earth from space. Made in cooperation with NASA, the film features stunning footage of our magnificent blue planet – and the effects humanity has had on it over time.",64,0,1,0,0,1970-01-01,2020-06-11,1970-01-01
4880,Journey to the South Pacific,No Data,No Data,United States,1970-01-01,2013,G,40 min,"Documentaries, Kids","Jawi, a boy living on a tropical island in West Papua, encounters whale sharks, sea turtles and other creatures of the sea.",54,0,1,0,0,1970-01-01,2020-06-11,1970-01-01
4881,Shirley,No Data,No Data,United States,1970-01-01,2020,R,107 min,"Drama, Horror, Thriller","Upon moving to a small Vermont college town, Fred and Rose get an offer for free room and board from a professor, as long as Rose agrees to look after his wife, acclaimed horror author Shirley Jackson.",64,0,1,0,0,1970-01-01,2020-06-05,1970-01-01
4887,I Still Believe,No Data,No Data,United States,1970-01-01,2020,PG,116 min,"Drama, Music, Romance",From the makers of I CAN ONLY IMAGINE comes the true life story of Christian music mega star Jeremy Camp. His remarkable journey of love and loss proves there is always hope in the midst of tragedy and that faith tested is the only faith worth sharing.,64,0,1,0,0,1970-01-01,2020-05-26,1970-01-01
4890,Rocketman,No Data,No Data,"United Kingdom, United States, Canada",1970-01-01,2019,R,121 min,"Drama, LGBTQ+, Music","The story of Elton John's life, from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",79,0,1,0,0,1970-01-01,2020-05-22,1970-01-01
4896,My Friend Dahmer,No Data,No Data,United States,1970-01-01,2017,R,109 min,"Drama, Horror","Disney’s Ross Lynch stars as the awkward, adolescent Jeffrey Dahmer – before he became one of America’s most infamous serial killers. Based on the acclaimed graphic novel, this is the haunting, sad, funny, true story of Dahmer in high school.",66,0,1,0,0,1970-01-01,2020-05-15,1970-01-01
4897,The Boy Downstairs,No Data,No Data,No Data,1970-01-01,2018,TV-14,91 min,"Comedy, Romance","An aspiring writer returns to New York after a few years abroad, only to discover that her ex-boyfriend is living in the same building.",53,0,1,0,0,1970-01-01,2020-05-15,1970-01-01
4898,Delivered,No Data,No Data,No Data,1970-01-01,2020,TV-MA,80 min,"Horror, Thriller",A pregnant woman’s life is upended when she realizes someone close to her has darker plans for her and the baby.,46,0,1,0,0,1970-01-01,2020-05-08,1970-01-01
4899,The Hustle,No Data,No Data,United States,1970-01-01,2019,PG-13,94 min,Comedy,Rebel Wilson and Anne Hathaway have winning chemistry as a pair of con artists plying their trade in a stunning seaside town in the south of France as they compete to swindle a naive tech prodigy (Alex Sharp) out of his considerable fortune.,67,0,1,0,0,1970-01-01,2020-05-07,1970-01-01
4900,The 33,No Data,No Data,"Chile, Colombia, Spain, United States",1970-01-01,2015,PG-13,127 min,Drama,The 2010 Chilean mine disaster and the 69-day effort to rescue the 33 miners who were trapped underground is chronicled.,69,0,1,0,0,1970-01-01,2020-05-05,1970-01-01
4902,Christine,No Data,No Data,"United Kingdom, United States",2020-08-13,2016,R,119 min,Drama,"CHRISTINE is the story of an aspiring newswoman caught in the midst of a personal and professional life crisis. Between unrequited love, frustration at work, a tumultuous home, and self-doubt; she begins to spiral down a dark path.",65,1,1,0,0,1970-01-01,2020-05-01,1970-01-01
4905,The Dinner,No Data,No Data,United States,1970-01-01,2017,R,120 min,"Drama, Horror, Thriller","Two estranged brothers and their wives meet at a restaurant to discuss a grotesque crime committed by their sons. With their involvement still a secret, they must decide how far they’ll go to protect the ones they love.",54,0,1,0,0,1970-01-01,2020-05-01,1970-01-01
4906,Cunningham,No Data,No Data,"Germany, France, United States",1970-01-01,2019,PG,93 min,"Documentaries, Music","Traces legendary American choreographer Merce Cunningham’s artistic evolution from his early years in postwar New York to his emergence as one of the world’s most visionary choreographers. A breathtaking explosion of dance, music.",45,0,1,0,0,1970-01-01,2020-04-23,1970-01-01
4907,A Kind of Murder,No Data,No Data,United States,1970-01-01,2016,R,96 min,"Crime, Drama, Horror","Patrick Wilson and Jessica Biel star in this Hitchcockian noir based on a novel by Patricia Highsmith (The Talented Mr. Ripley, Carol).",58,0,1,0,0,1970-01-01,2020-04-20,1970-01-01
4909,2 Days in Paris,No Data,No Data,"France, Germany",1970-01-01,2007,R,101 min,"Comedy, Drama, Romance","2 Days in Paris, follows a New York couple, French photographer Marion (Julie Delpy), and American interior designer Jack (Adam Goldberg), as they attempt to re-infuse their relationship with romance on a European vacation.",65,0,1,0,0,1970-01-01,2020-04-15,1970-01-01
4910,Vault,No Data,No Data,United States,1970-01-01,2019,R,99 min,"Crime, Drama","VAULT tells the true story of a group of small time criminals who attempt to pull off the biggest heist in American history: stealing over $30 million from the Mafia in the smallest state in the union, Rhode Island.",56,0,1,0,0,1970-01-01,2020-04-14,1970-01-01
4912,Barking Dogs Never Bite,No Data,No Data,South Korea,1970-01-01,2000,NR,110 min,"Comedy, International","In Bong Joon-ho’s directorial debut, a couple is driven to distraction by a yapping dog located in their apartment complex. Determined to relieve their annoyance, they take extreme action against his tormentor.",63,0,1,0,0,1970-01-01,2020-04-08,1970-01-01
4913,Force Majeure,No Data,No Data,"Sweden, France, Norway, Denmark",1970-01-01,2014,R,120 min,"Comedy, Drama","A wickedly funny psychodrama of a model Swedish family – Tomas, his wife, and their children – on a skiing holiday. An avalanche suddenly bears down on them. Tomas makes a decision that leaves him struggling to reclaim his role as family patriarch.",69,0,1,1,0,1970-01-01,2020-04-08,1970-01-01
4914,Jesus Camp,No Data,No Data,United States,1970-01-01,2006,PG-13,85 min,Documentaries,"Jesus camp follows three kids to Pastor Becky Fischer's ""Kids on Fire"" camp where young kids are taught to become Christian soldiers in ""God's army."" The kids hone their ""prophetic gifts"" and are schooled in how to ""take back America for Christ.""",67,0,1,0,0,1970-01-01,2020-04-08,1970-01-01
4915,Let the Right One In,No Data,No Data,Sweden,1970-01-01,2008,R,115 min,"Drama, Horror, International","Lonely, 12-year-old Oskar is regularly bullied by his stronger classmates.  A new friendship develops when Eli, a pale, serious young girl who only comes out at night, moves in next door.",81,0,1,0,0,1970-01-01,2020-04-08,1970-01-01
4916,Melancholia,No Data,No Data,"Denmark, Sweden, France, Germany",1970-01-01,2011,R,135 min,"Drama, Science Fiction",Justine (Kirsten Dunst) and Michael (Alexander Skarsgård) celebrate their marriage at a sumptuous party in the home of Justine’s sister Claire (Charlotte Gainsbourg) and brother-in-law John (Kiefer Sutherland).,76,0,1,0,0,1970-01-01,2020-04-08,1970-01-01
4917,Parasite,No Data,No Data,South Korea,1970-01-01,2019,R,132 min,"Comedy, Drama, Horror","Greed, class discrimination, and a mysterious interloper threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.",88,0,1,0,0,1970-01-01,2020-04-08,1970-01-01
4918,The Host,No Data,No Data,No Data,1970-01-01,2006,R,120 min,"Horror, Science Fiction, Thriller",A South Korean family must save a daughter from a horrible monster that emerged from the Han River.,76,0,1,0,0,1970-01-01,2020-04-08,1970-01-01
4919,The Queen of Versailles,No Data,No Data,"United States, Netherlands, United Kingdom, Denmark",1970-01-01,2012,PG,101 min,Documentaries,The Queen of Versailles is a character-driven documentary about a billionaire family and their financial challenges in the wake of the economic crisis.,64,0,1,0,0,1970-01-01,2020-04-08,1970-01-01
4920,Pooka Lives!,No Data,No Data,No Data,1970-01-01,2020,TV-MA,80 min,Horror,"A group of thirty-something friends from high school create their own Creepypasta about Pooka for laughs, but are shocked when it becomes so viral on the Internet that it actually manifests more murderous versions of the creature.",51,0,1,0,0,1970-01-01,2020-04-03,1970-01-01
4922,Portrait of a Lady on Fire,No Data,No Data,France,1970-01-01,2019,R,121 min,"Drama, History, LGBTQ+","In 18th century France a young painter, Marianne (Noémie Merlant), is commissioned to do the wedding portrait of Héloïse (Adèle Haenel). Day by day, the two women become closer as they share Héloïse's last moments of freedom before the impending wedding.",80,0,1,0,0,1970-01-01,2020-03-27,1970-01-01
4923,Big Time Adolescence,No Data,No Data,No Data,1970-01-01,2020,R,91 min,Comedy,"A seemingly bright and mostly innocent 16-year-old named Mo (Griffin Gluck) attempts to navigate high school under the guidance of his best friend Zeke (Pete Davidson), an unmotivated-yet-charismatic college dropout. Although Zeke genuinely cares about Mo, things start to go awry as he teaches Mo nontraditional life lessons in drug dealing, partying, and dating. Meanwhile, Mo’s well-meaning dad (Jon Cryer) tries to step in and take back the reins of his son’s upbringing.",83,0,1,0,0,1970-01-01,2020-03-13,1970-01-01
4924,Monos,No Data,No Data,"Colombia, Argentina, Netherlands, Germany, Sweden, Uruguay, United States, Switzerland, Denmark, France",1970-01-01,2019,R,103 min,"Adventure, International, Thriller","A young group of soldiers and rebels keep watch over an American hostage, Doctora. After an ambush drives the squadron into the jungle, both the mission and the intricate bonds between the group begin to disintegrate.",65,0,1,0,0,1970-01-01,2020-03-09,1970-01-01
4925,Crawlers,No Data,No Data,No Data,1970-01-01,2020,TV-MA,81 min,Horror,On Saint Patrick's day – a night of wild parties and drunken revelry – three unlikely friends band together to save a college town from a vicious horde of body-switching aliens.,51,0,1,0,0,1970-01-01,2020-03-06,1970-01-01
4928,Getaway,No Data,No Data,"United States, Bulgaria",1970-01-01,2013,PG-13,90 min,"Action, Adventure, Horror",A washed-up race car driver finds himself in a race against time to save his abducted wife in this heart-pounding thriller.,56,0,1,1,0,1970-01-01,2020-02-19,1970-01-01
4929,And So It Goes,No Data,No Data,United States,1970-01-01,2014,PG-13,94 min,"Comedy, Drama, Romance",A self-absorbed realtor enlists the help of his neighbor when he's suddenly left in charge of the granddaughter he never knew existed until his estranged son drops her off at his home.,61,0,1,1,0,1970-01-01,2020-02-15,1970-01-01
4930,Racetime,No Data,No Data,Canada,1970-01-01,2018,PG,90 min,"Action, Adventure, Comedy","After losing a rigged sled race, Frankie challenges newcomer Zac to one last showdown. With the stakes higher than ever, Zac will stop at nothing to win the race.",48,0,1,0,0,1970-01-01,2020-02-14,1970-01-01
4932,Sea of Shadows,No Data,No Data,"Austria, Australia, Germany, United States",1970-01-01,2019,TV-14,105 min,"Crime, Documentaries, Drama",Sea of Shadows uncovers a black market that threatens the extinction of the vaquita.,56,0,1,0,0,1970-01-01,2020-02-11,1970-01-01
4933,My Valentine,No Data,No Data,No Data,1970-01-01,2020,TV-MA,79 min,"Horror, Thriller","A pop singer’s songs and artistic identity have been stolen by her ex-boyfriend/manager – and shamelessly pasted onto his new girlfriend/protégé. Locked together in a small concert venue after hours, the three of them confront the emotional abuses of the past…until things turn violent.",45,0,1,0,0,1970-01-01,2020-02-07,1970-01-01
4934,Angel of Mine,No Data,No Data,"Australia, United States",1970-01-01,2019,R,98 min,"Drama, Horror, Mystery","In this intense thriller, Noomi Rapace stars as a woman on the edge who believes the daughter of a neighbor is actually her own.",63,0,1,0,0,1970-01-01,2020-02-06,1970-01-01
4935,The Cave,No Data,No Data,"Denmark, Germany, France, United Kingdom, United States, Qatar, Syria",1970-01-01,2019,TV-14,97 min,Documentaries,"The Cave paints a stirring portrait of courage, resilience and female solidarity inside a subterranean hospital in Syria run by a young, female pediatrician.",61,0,1,0,0,1970-01-01,2020-02-06,1970-01-01
4947,Brian Banks,No Data,No Data,No Data,1970-01-01,2019,PG-13,99 min,"Black Stories, Drama","An All-American football player's dreams to play in the NFL are halted when he is wrongly convicted and sent to prison. Years later, he fights to clear his name within an unjust system.",63,0,1,0,0,1970-01-01,2020-01-27,1970-01-01
4948,Luce,No Data,No Data,No Data,1970-01-01,2019,R,110 min,"Black Stories, Drama","An all-star high school athlete and accomplished debater, Luce is a poster boy for the new American Dream. When Luce’s teacher makes a shocking discovery his stellar reputation is called into question.",64,0,1,0,0,1970-01-01,2020-01-27,1970-01-01
4949,Rare Exports: A Christmas Tale,No Data,No Data,No Data,1970-01-01,2010,R,83 min,"Action, Adventure, Comedy","In this darkly comic gem, it's Christmas Eve in northern Finland, and an archeological dig has just unearthed Santa Claus. But this Santa isn't one you want coming to town.",65,0,1,0,0,1970-01-01,2020-01-15,1970-01-01
4951,We Need to Talk About Kevin,No Data,No Data,"United Kingdom, United States",1970-01-01,2011,R,113 min,"Drama, International","Academy Award winner & Golden Globe nominee Tilda Swinton stars in this taut psychological thriller as Eva, whose relationship with her son Kevin (Ezra Miller) has been difficult from the beginning. When his cruel streak erupts into violence, Eva wonders how much blame she deserves for his actions.",78,0,1,1,0,1970-01-01,2020-01-15,1970-01-01
4952,The Art of Self-Defense,No Data,No Data,United States,1970-01-01,2019,R,104 min,Comedy,"A random assault turns a mild-mannered accountant into a lethal martial artist in The Art of Self-Defense, an audaciously original dark comedy that takes the idea of toxic masculinity to absurd extremes.",68,0,1,0,0,1970-01-01,2020-01-06,1970-01-01
4955,35 and Ticking,No Data,No Data,United States,1970-01-01,2011,R,109 min,"Black Stories, Comedy, Romance",Four friends are approaching the age of 35 and struggling to build families they've dreamed of. They try to rectify their romantic lives and futures while their biological clocks tick away.,53,0,1,0,0,1970-01-01,2019-12-31,1970-01-01
4957,Cabin Fever: Patient Zero,No Data,No Data,No Data,1970-01-01,2014,TV-14,95 min,"Horror, Thriller","A group of friends planned the perfect vacation in the Caribbean, but their ultimate weekend devolves into their worst nightmare.",54,0,1,0,0,1970-01-01,2019-12-31,1970-01-01
4959,D.L. Hughley: Reset,No Data,No Data,No Data,1970-01-01,2012,TV-MA,58 min,"Comedy, Stand Up",D.L. Hughley's stand-up comedy special.,43,0,1,1,0,1970-01-01,2019-12-31,1970-01-01
4962,Hellbound: Hellraiser II,No Data,No Data,United Kingdom,1970-01-01,1988,R,99 min,Horror,A doctor seeks to unlock a puzzle box that opens a doorway to a hellish dimension controlled by Pinhead and his Cenobites in this sequel.,67,0,1,1,0,1970-01-01,2019-12-31,1970-01-01
4965,Mary,No Data,No Data,"United States, Canada",1970-01-01,2019,R,85 min,"Horror, Thriller","Soon after David impulsively buys an abandoned boat for his family business, a mysterious presence begins to terrorize him and his family.",53,0,1,0,0,1970-01-01,2019-12-31,1970-01-01
4969,The Tall Man,No Data,No Data,"Canada, France",1970-01-01,2012,TV-14,102 min,"Crime, Horror","Starring Jessica Biel. In an isolated town, children are vanishing without a trace and the locals believe a mysterious entity known as ""The Tall Man"" is responsible. Town nurse Julia is a skeptic, until her own child disappears.",65,0,0,1,0,1970-01-01,2018-10-15,1970-01-01
4972,Running with the Devil,No Data,No Data,"Colombia, United States",1970-01-01,2019,R,100 min,"Action, Adventure, Crime","When a cocaine shipment is compromised, a drug cartel’s CEO, known as The Boss orders his most trusted henchman, The Cook, and his partner, another master drug trafficker known as The Man, on a dangerous journey to audit the company’s supply chain.",59,0,1,0,0,1970-01-01,2019-12-30,1970-01-01
4973,Midnight Kiss,No Data,No Data,United States,1970-01-01,2019,TV-MA,89 min,"Horror, LGBTQ+, Thriller","A group of gay best friends and their gal pal head to a desert home to celebrate New Year’s Eve. But when a sadistic killer wants in on the party, relationships are tested and secrets are exposed as the night turns into a fight for survival.",44,0,1,0,0,1970-01-01,2019-12-27,1970-01-01
4974,Lo and Behold: Reveries of the Connected World,No Data,No Data,United States,1970-01-01,2016,PG-13,98 min,Documentaries,"Oscar®-nominated documentarian Werner Herzog (Grizzly Man, Cave of Forgotten Dreams) chronicles the virtual world from its origins to its outermost reaches.",64,0,1,0,0,1970-01-01,2019-12-23,1970-01-01
4975,Pokémon the Movie: Diancie and the Cocoon of Destruction,No Data,No Data,No Data,1970-01-01,2014,TV-Y7,71 min,"Action, Adventure, Anime",Ash must help Diancie and stop Yveltal's rampage!,51,0,1,0,0,1970-01-01,2019-12-22,1970-01-01
4976,Pokémon the Movie: Hoopa and the Clash of Ages,No Data,No Data,No Data,1970-01-01,2015,TV-Y7,74 min,"Action, Adventure, Anime",Ash must help Hoopa overcome its own darkness!,55,0,1,0,0,1970-01-01,2019-12-22,1970-01-01
4977,The Kid,No Data,No Data,United States,1970-01-01,2019,R,100 min,"Action, Adventure, Drama","Vincent D'Onofrio directs this story of Rio, a young fan of Billy the Kid, who asks the fabled gunslinger to help him free his kidnappedsister, Sara, from his uncle's dastardly grip.",62,0,1,0,1,1970-01-01,2019-12-18,1970-01-01
4979,My Little Pony: A Very Minty Christmas,No Data,No Data,No Data,1970-01-01,2005,TV-Y,44 min,"Action, Adventure, Family","Clumsy Minty Pony (Tabitha St. Germain) breaks the holiday candy cane that guides Santa Claus to Ponyville every year; includes bonus episode ""Dancing in the Clouds.""",43,0,1,0,0,1970-01-01,2019-12-10,1970-01-01
4980,My Little Pony: The Princess Promenade,No Data,No Data,No Data,1970-01-01,2006,TV-Y,51 min,"Action, Adventure, Family","The ponies' annual Spring Promenade goes awry when a 1,000-year-old dragon awakens and fulfills a royal prophecy.",57,0,1,0,0,1970-01-01,2019-12-10,1970-01-01
4981,My Little Pony: Twinkle Wish Adventure,No Data,No Data,No Data,1970-01-01,2009,TV-Y,44 min,"Action, Adventure, Family","All the ponies cannot wait for the Winter Wishes festival where the Wishing Star grants each pony one special wish. But when the Wishing Star disappears, they go on a journey to find it. But will they make it back in time for the festival?",43,0,1,0,0,1970-01-01,2019-12-10,1970-01-01
4984,Killers Anonymous,No Data,No Data,United Kingdom,1970-01-01,2019,R,96 min,"Action, Crime, Mystery","Tensions mount at KILLERS ANONYMOUS, a support group for killers, as the members of the group try to unravel a mystery: Which one of them is responsible for the assassination attempt on a U.S. senator that has the police in the city on high alert?",54,0,1,0,0,1970-01-01,2019-12-05,1970-01-01
4985,This One's for the Ladies,No Data,No Data,United States,1970-01-01,2018,R,83 min,"Black Stories, Documentaries","Every Thursday night, hundreds of women gather for a potluck celebration and the chance to throw singles at the hottest dancers in New Jersey. This One's for the Ladies isn't just about dancing, it's a heartwarming story of friendship and community.",39,0,1,0,0,1970-01-01,2019-12-02,1970-01-01
4986,Love & Mercy,No Data,No Data,No Data,1970-01-01,2015,PG-13,122 min,"Drama, Music",John Cusack and Paul Dano star as Beach Boys genius Brian Wilson in this film that intimately examines the unique journey and ultimate salvation of the musical icon.,71,0,1,0,0,1970-01-01,2019-11-25,1970-01-01
4989,Booksmart,No Data,No Data,United States,1970-01-01,2019,R,102 min,"Comedy, LGBTQ+",Booksmart is a comedy about two academic superstars and best friends on a mission to cram four years of fun into one night.,78,0,1,0,0,1970-01-01,2019-11-18,1970-01-01
4990,The Tomorrow Man,No Data,No Data,United States,1970-01-01,2019,PG-13,95 min,"Drama, Romance","Ed Hemsler spends his life preparing for a disaster that may never come. Ronnie Meisner spends her life shopping for things she may never use. In a small town somewhere in America, these two people will try to find love while trying not to get lost in each other's stuff.",54,0,1,0,0,1970-01-01,2019-11-18,1970-01-01
4992,Sinbad: Legend of the Seven Seas,No Data,No Data,"United States, United Kingdom, France",1970-01-01,2003,PG,85 min,"Action, Adventure, Cartoons",Sinbad the sailor must retrieve the stolen Book of Peace from a goddess with a penchant for chaos in this mythological animated tale.,68,0,1,0,0,1970-01-01,2019-11-01,1970-01-01
4993,The Nightingale,"Director Jennifer Kent (""The Babadook"") tells the sweeping tale of a young woman's quest for revenge set in 1825 against the perilous and unforgiving terrain of Tasmania.",No Data,Australia,1970-01-01,2018,R,136 min,"Action, Adventure, Drama","Director Jennifer Kent (""The Babadook"") tells the sweeping tale of a young woman's quest for revenge set in 1825 against the perilous and unforgiving terrain of Tasmania.",71,0,1,0,0,1970-01-01,2019-11-01,1970-01-01
4994,In Search of Greatness,No Data,No Data,United States,1970-01-01,2018,PG-13,77 min,"Documentaries, Sports",IN SEARCH OF GREATNESS is a groundbreaking documentary that reveals the true nature and nurture of the greatest athletes of all time,51,0,1,0,0,1970-01-01,2019-10-30,1970-01-01
