title,director,director gender,distributor,id,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,metacriticRating,budget,cumulativeWorldwideGross,keywords,awards
X,Roger Corman,male,American International Pictures,tt0057693,88%,,,,,,,,,,,,,,
Wives Under Suspicion,James Whale,male,Universal Pictures,tt0030981,,Wives Under Suspicion,1938-06-03,James Whale,"Warren William, Gail Patrick, Ralph Morgan",USA,English,Passed,6.1,473.0,,"$220,000 (estimated)",,"reporter,prison,jealousy,execution,district attorney",
We Are Still Here,Ásdís Thoroddsen,female,Netflix,tt3520418,7.2/10,We Are Still Here,2015-05-30,Ted Geoghegan,"Andrew Sensenig, Barbara Crampton, Larry Fessenden",USA,English,Not Rated,5.7,18828.0,65.0,,,"retro,retro horror,ambiguous ending,atheist,blood","Awards, 1 win & 20 nominations"
The Vanishing,George Sluizer,male,Netflix,tt0108473,5.2/10,,,,,,,,,,,,,,
The Perfect Wedding,Scott Gabriel,,,tt2151863,,,,,,,,,,,,,,,
The Glorias,Julie Taymor,female,"Artemis Rising Foundation, Page Fifty-Four Pictures, The Glorias",tt7435316,67%,The Glorias,2020-09-30,Julie Taymor,"Julianne Moore, Alicia Vikander, Janelle Monáe",USA,English,R,5.7,3232.0,58.0,,"$30,940","feminism,activism,journalism,based on book,based on true story","Awards, 5 nominations"
Test,Alexander Kott,male,Hulu,tt2407380,6.8/10,,,,,,,,,,,,,,
Streets,Katt Shea,female,New Concorde,tt0100707,,,,,,,,,,,,,,,
Stay,Wiebke Carolsfeld,female,Netflix,tt0371257,4.7/10,,,,,,,,,,,,,,
Skin Deep,Blake Edwards,male,Warner Bros.,tt0020415,,,,,,,,,,,,,,,
Seberg,Benedict Andrews,male,"Phreaker Films, Bradley Pilz Productions, Automatik Entertainment",tt1780967,5.5/10,Seberg,2019-12-13,Benedict Andrews,"Kristen Stewart, Yvan Attal, Gabriel Sky","UK, USA","English, French",R,5.9,8963.0,54.0,,"$655,178","film star,french author,radical politics,1960s,civil rights movement","Awards, 2 wins & 6 nominations"
Rudderless,Gennaro Righelli,male,The Samuel Goldwyn Company,tt1798243,6.3/10,Rudderless,2015-02-21,William H. Macy,"Billy Crudup, Anton Yelchin, Felicity Huffman",USA,English,R,7.4,18804.0,52.0,"$5,000,000 (estimated)","$546,149","intergenerational friendship,school shooting,loss of child,loss of a son,loss of a child","Awards, 1 win & 1 nomination"
Nevada City,Joseph Kane,male,Republic Pictures,tt0033944,,Nevada City,1941-06-20,Joseph Kane,"Roy Rogers, George 'Gabby' Hayes, Sally Payne",USA,English,Approved,5.8,167.0,,,,"western music,b western",
Nemesis,Albert Pyun,male,Unione Cinematografica Italiana,tt0188100,,,,,,,,,,,,,,,
Mickey,James Young,male,,tt0009369,,,,,,,,,,,,,,,
Killer Sofa,,,,tt7133754,,,,,,,,,,,,,,,
Joji,Dileesh Pothan,male,"Bhavana Studios, Fahadh Faasil and Friends, Working Class Hero",tt13206926,,Joji,2021-04-07,Dileesh Pothan,"Fahadh Faasil, Basil Joseph, Dileesh Pothan",India,Malayalam,,7.8,9829.0,,,,ambition,"Awards, 2 wins & 5 nominations"
Howl,Jeffrey Friedman,male,Fandango,tt1049402,63%,,,,,,,,,,,,,,
Hide Away,Chris Eyre,male,"MMC Joule Films, A Year in Mooring",tt1536374,4.9/10,Hide Away,2011-10-30,Chris Eyre,"Josh Lucas, Ayelet Zurer, James Cromwell",USA,English,PG-13,5.7,1027.0,34.0,,"$30,655","sailboat,bare chested male,refurbishing a boat,man with no name,dock","Awards, 1 win & 1 nomination"
Dear God,Garry Marshall,male,Paramount Pictures,tt0116059,3.7/10,Dear God,1996-11-01,Garry Marshall,"Greg Kinnear, Laurie Metcalf, Maria Pitillo",USA,English,PG,5.4,4042.0,,"$22,000,000 (estimated)","$7,138,523","dead letter office,child,reference to elvis presley,god in title,letter","Awards, 1 nomination"
Dawn,Miklós Jancsó,male,Budapest Film,tt0088753,,,,,,,,,,,,,,,
Archive,Gavin Rothery,male,Vertical Entertainment,tt6882604,7.2/10,Archive,2020-07-10,Gavin Rothery,"Theo James, Stacy Martin, Rhona Mitra","UK, Hungary, USA","English, Japanese, French",TV-MA,6.3,21679.0,67.0,,"$243,279","dead wife,husband wife relationship,fatal car accident,artificial intelligence,surprise ending","Awards, 1 win & 1 nomination"
Action,John Ford,male,,tt0078732,,,,,,,,,,,,,,,
Tiger Orange,,,Wolfe Video,tt2866824,100%,,,,,,,,,,,,,,
The Wall,Julian Pölsler,male,Roadside Attractions,tt4218696,6/10,The Wall,2017-05-18,Doug Liman,"Aaron Taylor-Johnson, John Cena, Laith Nakli",USA,English,R,6.2,27220.0,57.0,,"$4,477,141","sniper,soldier,deception,wound,duel","Awards, 1 nomination"
The Ultimate Life,Michael Landon Jr.,male,"The Ultimate Life, ReelWorks Studios",tt1778924,18%,The Ultimate Life,2018-08-15,Michael Landon Jr.,"Logan Bartholomew, Peter Fonda, Ali Hillis",USA,English,PG,5.9,1435.0,19.0,"$3,100,000 (estimated)","$1,327,841","rags to riches,oil discovery,billionaire,haiti,strong female character",
Suspiria,Dario Argento,male,Amazon Studios,tt1034415,6.9/10,Suspiria,2018-11-02,Luca Guadagnino,"Chloë Grace Moretz, Tilda Swinton, Doris Hick","Italy, USA","English, German, French",R,6.7,76302.0,64.0,"$20,000,000 (estimated)","$7,942,093","1970s,witches&apos; coven,telepathy,good versus evil,mysterious disappearance","Awards, 24 wins & 74 nominations"
New Life,,,"Argentum Entertainment, Circle 4 Entertainment, Red Sky Studios",tt2931140,29%,New Life,2017-10-19,Drew Waters,"Jonathan Patrick Moore, Nickolaus Schnetzky, Caige Coulter",USA,English,PG,6.0,907.0,,,,"hair loss,terminal illness,orphan,orphan girl,love at first sight","Awards, 1 win"
Manhunt: Search for the Night Stalker,Bruce Seth Green,male,"Joel Fields Productions, Leonard Hill Films",tt0097825,,Manhunt: Search for the Night Stalker,1989-11-12,Bruce Seth Green,"Richard Jordan, A Martinez, Julie Carmen",USA,English,PG-13,6.3,400.0,,,,"murder,reference to richard ramirez,richard ramirez character,night stalker,stalker",
Look Again,Jean-Marc Piché,male,"Incendo Productions, Incendo Media",tt2059242,,Look Again,2012-09-21,Jean-Marc Piché,"Morena Baccarin, Paul Christie, Sadie LeBlanc",Canada,English,,4.7,551.0,,,,"female police officer,police,intruder,suspect,fiance fiancee relationship",
Juncture,James Seale,male,,tt0765462,,,,,,,,,,,,,,,
Intruders,Juan Carlos Fresnadillo,male,Universal Pictures,tt1634121,4.9/10,,,,,,,,,,,,,,
Into the Sun,Fritz Kiersch,male,Netflix,tt0104521,,,,,,,,,,,,,,,
Hostile,Mathieu Turi,male,,tt5085522,,,,,,,,,,,,,,,
Gulabo Sitabo,Shoojit Sircar,male,,tt10333912,,,,,,,,,,,,,,,
Grimm Love,Martin Weisz,male,Netflix,tt0448400,,,,,,,,,,,,,,,
"Eriko, Pretended",,,,,,,,,,,,,,,,,,,
Dummy,Greg Pritikin,male,Artisan Entertainment,tt0246592,71%,,,,,,,,,,,,,,
Dark River,Clio Barnard,female,Arrow Films,tt5700176,6.5/10,Dark River,2018-06-29,Clio Barnard,"Ruth Wilson, Jonah Russell, Paul Robertson",UK,English,Not Rated,5.8,3979.0,69.0,,"$239,182","brother sister relationship,farm,rural setting,haunted by the past,yorkshire","Awards, 1 win & 5 nominations"
City of Shadows,William Witney,male,Republic Pictures,tt0047942,,,,,,,,,,,,,,,
A Room Full of Nothing,,,,tt8906652,,,,,,,,,,,,,,,
Rambo: Last Blood,Adrian Grunberg,male,Vertigo Média,tt1206885,4/10,Rambo: Last Blood,2019-09-20,Adrian Grunberg,"Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta","USA, Hong Kong, France, Bulgaria, Spain, Sweden","English, Spanish",R,6.1,97540.0,26.0,"$50,000,000 (estimated)","$91,490,353","fifth part,one man army,vigilante justice,vigilante,sequel","Awards, 4 wins & 8 nominations"
Mummy Dearest,Willis Ikedum,male,Netflix,tt10183622,,,,,,,,,,,,,,,
Colorz of Rage,Dale Resteghini,male,"Eagle Rock Entertainment, Flutie Entertainment, Mogal Productions",tt0211317,,Colorz of Rage,1999-08-05,Dale Resteghini,"Dread Archie Jr., Crystal L. Bass, Toni D'Antonio",USA,English,R,4.7,139.0,,"$1,000,000 (estimated)",,"new york city,interracial couple,urban setting,race relations,interracial romance",
Windows,Gordon Willis,male,United Artists Corporation,tt0081759,0%,Windows,1980-01-18,Gordon Willis,"Talia Shire, Joe Cortese, Elizabeth Ashley",USA,English,R,4.7,819.0,,,"$2,128,395","psycho thriller,sexy thriller,scene during opening credits,timeframe 1980s,peeping tom","Awards, 6 nominations"
The Star Packer,Robert N. Bradbury,male,Monogram Pictures,tt0025830,,The Star Packer,1934-07-30,Robert N. Bradbury,"John Wayne, Verna Hillie, George 'Gabby' Hayes",USA,English,Approved,5.2,1134.0,,,,held at gunpoint,
The Resident,Antti Jokinen,male,Paramount Pictures,tt1334102,4.6/10,The Resident,2011-03-11,Antti J. Jokinen,"Hilary Swank, Jeffrey Dean Morgan, Lee Pace","UK, USA",English,R,5.3,28157.0,,"$20,000,000 (estimated)","$6,742,156","female protagonist,voyeurism,attempted rape,survival,fear","Awards, 1 win & 1 nomination"
The Dark Valley,Andreas Prochaska,male,"Allegro Film, X-Filme Creative Pool, SamFilm Produktion",tt2650978,33%,The Dark Valley,2014-02-13,Andreas Prochaska,"Sam Riley, Tobias Moretti, Paula Beer","Austria, Germany","German, English",Not Rated,7.1,13482.0,,"€6,350,000 (estimated)","$2,390,284","shot in the head,slow motion scene,horseshoe nail,photograph,wound dressed","Awards, 30 wins & 5 nominations"
The Baytown Outlaws,,,Netflix,tt1836944,4.1/10,,,,,,,,,,,,,,
Sugar Daddies,Doug Campbell,male,"Johnson Production Group, Shadowland",tt4329098,,Sugar Daddies,2017-01-29,Doug Campbell,"Taylor Black, Peter Strauss, James C. Burns",USA,English,TV-PG,5.0,1084.0,,,,"tied feet,infidelity,cheating girlfriend,sex scene,college",
Saints and Soldiers: The Void,Ryan Little,male,"Go Films, Koan",tt1270114,,Saints and Soldiers: The Void,2014-08-15,Ryan Little,"Adam Gregory, Timothy S. Shoemaker, Michael Todd Behrens",USA,English,PG-13,5.3,2565.0,,,,"20th century,1940s,year 1944,military,soldier","Awards, 1 win"
No Surrender,Peter Smith,male,,tt0089697,,,,,,,,,,,,,,,
Ninnu Kori,Shiva Nirvana,male,"DVV Entertainment, Kona Film Corporation",tt6996016,,Ninnu Kori,2017-07-06,Shiva Nirvana,"Nani, Nivetha Thomas, Aadhi",India,Telugu,Not Rated,7.5,3342.0,,,"$149,229",love,"Awards, 1 win & 5 nominations"
My Pet Dinosaur,Matt Drummond,male,,tt6055082,,,,,,,,,,,,,,,
Milk Money,Richard Benjamin,male,Paramount Pictures,tt0110516,3.3/10,Milk Money,1994-08-31,Richard Benjamin,"Melanie Griffith, Ed Harris, Michael Patrick Carter",USA,English,PG-13,5.6,12309.0,,,"$18,137,661","blonde,boy,school,classroom,female reproductive system","Awards, 1 nomination"
Kickin' It Old Skool,,,Yari Film Group,tt0772178,2.6/10,Kickin' It Old Skool,2007-04-27,Harvey Glazer,"Jamie Kennedy, Maria Menounos, Miguel A. Núñez Jr.","USA, Canada","Korean, Persian, English",PG-13,4.6,7179.0,18.0,,"$4,692,108","1980s,timeframe 1980s,hospital room,homeless man,cardboard",
Hello Charlie,,,Excel Entertainment,tt14260080,,Hello Charlie,2021-04-09,Pankaj Saraswat,"Aadar Jain, Abhinay Raj Singh, Jackie Shroff",India,Hindi,,5.6,4371.0,,,,,
Grateful Dawg,,,"11th Hour Productions & Entertainment Inc., Acoustic Disc",tt0265212,6.2/10,Grateful Dawg,2002-07-04,Gillian Grisman,"Jerry Garcia, David Grisman, Joe Craven",USA,English,PG-13,7.3,324.0,64.0,,"$360,251",cult music band,"Awards, 1 win"
Frances,Graeme Clifford,male,Universal Pictures,tt0083967,7.4/10,Frances,1983-03-11,Graeme Clifford,"Jessica Lange, Jonathan Banks, Bonnie Bartlett",USA,English,R,7.2,7988.0,48.0,,,"courtroom,frances farmer character,mother daughter relationship,domineering mother,female protagonist","Nominated for 2 Oscars, 2 wins & 9 nominations total"
Eden,Megan Griffiths,female,Netflix,tt3090634,7.3/10,,,,,,,,,,,,,,
Delightfully Dangerous,Arthur Lubin,male,United Artists Corporation,tt0037636,,Delightfully Dangerous,1945-03-31,Arthur Lubin,"Jane Powell, Ralph Bellamy, Constance Moore",USA,English,Approved,6.0,292.0,,,,"kid sister,song,singer,singing,reference to strauss in song",
Death Clique,Doug Campbell,male,,tt3509114,,,,,,,,,,,,,,,
Cold War,Paweł Pawlikowski,male,,tt2186715,,,,,,,,,,,,,,,
Calendar Girl,John Whitesell,male,Columbia Pictures,tt0106505,3.4/10,,,,,,,,,,,,,,
Atlas Shrugged: Part I,Paul Johansson,male,Rocky Mountain Pictures,tt0480239,12%,Atlas Shrugged: Part I,2011-04-15,Paul Johansson,"Taylor Schilling, Grant Bowler, Matthew Marsden",USA,"English, German",PG-13,5.6,13818.0,28.0,"$20,000,000 (estimated)","$4,627,375","egoism,libertarian,based on novel,utopia,brother sister relationship","Awards, 1 win"
All In: The Fight for Democracy,Liz Garbus,female,Amazon Prime Video,tt12538822,100%,All In: The Fight for Democracy,2020-09-18,"Lisa Cortes, Liz Garbus","Carolyn Abrams, Robert Abrams, Stacey Abrams",USA,English,PG-13,6.6,1953.0,79.0,,,"georgia state election,ballot count,georgia governor,voter suppression laws,minority discrimination","Nominated for 1 Primetime Emmy, 6 wins & 16 nominations total"
Alex in Wonderland,Paul Mazursky,male,Metro-Goldwyn-Mayer,tt0065380,,,,,,,,,,,,,,,
Yardie,Idris Elba,male,StudioCanal,tt5862902,5.8/10,Yardie,2018-08-31,Idris Elba,"Antwayne Eccleston, Fraser James, Aml Ameen",UK,English,Not Rated,5.8,3099.0,52.0,,"$1,551,163","jamaica,organized crime,london england,car chase,gangster","Awards, 2 wins & 6 nominations"
Time,Kim Ki-duk,male,Mikado Film,tt0497986,7.1/10,,,,,,,,,,,,,,
Telephone Operator,Scott Pembroke,male,Monogram Pictures,tt0030839,,Telephone Operator,1937-12-07,Scott Pembroke,"Judith Allen, Grant Withers, Warren Hymer",USA,English,Approved,5.7,179.0,,,,"telephone,telephone operator,flood,disaster,mother son relationship",
Technotise: Edit & I,Aleksa Gajić,male,Netflix,tt1372301,,Technotise: Edit & I,2009-04-08,"Aleksa Gajic, Nebojsa Andric, Stevan Djordjevic","Sanda Knezevic, Nebojsa Glogovac, Jelisaveta 'Seka' Sablic",Serbia,"Serbian, Portuguese",Not Rated,7.4,3213.0,,,,"supernatural power,examination,teacher,lust,vision of the future","Awards, 1 win"
Status Update,Scott Speer,male,Hulu,tt5692390,4.5/10,Status Update,2018-03-30,Scott Speer,"Ross Lynch, Olivia Holt, Harvey Guillén","Canada, USA, China",English,PG-13,5.7,5245.0,,,"$416,178","social media,teenager,app,separated parents,high school",
Dark Was the Night,Jack Heller,male,Image Entertainment,tt2251281,6/10,,,,,,,,,,,,,,
"Come On, Tarzan",Alan James,male,K.B.S. Productions Inc.,tt0022773,,"Come on, Tarzan",1932-09-11,Alan James,"Ken Maynard, Tarzan, Merna Kennedy",USA,English,Passed,6.5,76.0,,,,horse rustling,
Astitwa,Shyamal Bose,male,Dream Merchant,tt8852364,,Astitwa,2018-08-10,Shyamal Bose,"Bhaskar Banerjee, Soumitra Chatterjee, Debolina Dutta",India,Bengali,,,,,,,,
Ye Re Ye Re Paisa 2,Hemant Dhome,male,Panorama Studios,tt8983182,,Ye Re Ye Re Paisa 2,2019-08-09,Hemant Dhome,"Dinesh Dukhande, Mrinmayee Godbole, Smita Gondkar",India,Marathi,Not Rated,5.3,79.0,,,,,
Wild Horses,Marcelo Piñeyro,male,Netflix,tt4442130,4.2/10,Wild Horses,2015-06-05,Robert Duvall,"Robert Duvall, James Franco, Darien Willardson",USA,English,R,4.8,3641.0,44.0,,"$9,867","texas ranger,dirty cop,gay,horseback riding,father son relationship",
We Still Say Grace,,,"Brothers Shamus Pictures, Dauntless Studios, Lexicon Entertainment",tt3408894,,We Still Say Grace,2020-12-11,"Brad Helmink, John Rauschelbach","Holly Taylor, Bruce Davison, Rita Volk",USA,English,,5.3,705.0,,,,"suicide,pact,stranger",
Troop Zero,Bert,,Amazon Studios,tt2404465,6.4/10,,,,,,,,,,,,,,
The Legion,,,"Magol films, Carbara films, Equo Entertainment",tt8318284,0,The Legion,2020-05-08,Jose Magan,"Lee Partridge, Mickey Rourke, Joaquim de Almeida","Spain, USA",English,R,3.1,970.0,,,,"snow,snow adventure,mission,1st century,roman empire",
The Blue Gardenia,Fritz Lang,male,Warner Bros.,tt0045564,6.8/10,The Blue Gardenia,1953-03-28,Fritz Lang,"Anne Baxter, Richard Conte, Ann Sothern",USA,English,Not Rated,6.8,5478.0,,,,"title based on song,color in title,murder,telephone,telephone operator",
Rio Grande,John Ford,male,Republic Pictures,tt0042895,6.8/10,Rio Grande,1950-11-15,John Ford,"John Wayne, Maureen O'Hara, Ben Johnson",USA,English,Passed,7.0,16296.0,,"$1,214,899 (estimated)",,"apache indian,apache indian tribe,apache,apache territory,river in title","Awards, 1 nomination"
Papillon,Franklin J. Schaffner,male,Netflix,tt0070511,7.6/10,,,,,,,,,,,,,,
Little Secrets,Pol Cruchten,male,,tt0468834,,,,,,,,,,,,,,,
Home Sweet Hell,Anthony Burns,male,Vertical Entertainment,tt2802136,3.1/10,Home Sweet Hell,2015-02-03,Anthony Burns,"Katherine Heigl, Patrick Wilson, Madison Wolfe",USA,"English, French",R,5.5,15458.0,22.0,"$3,000,000 (estimated)",,"blackmail,murder,husband wife relationship,mercedes benz,murder of a nude woman","Awards, 1 nomination"
Hellraiser,Clive Barker,male,Entertainment Film Distributors,tt0093177,6.5/10,,,,,,,,,,,,,,
Heathers,Michael Lehmann,male,New World Pictures,tt0097493,93%,Heathers,1989-03-31,Michael Lehmann,"Winona Ryder, Christian Slater, Shannen Doherty",USA,English,R,7.2,103674.0,72.0,"$3,000,000 (estimated)","$1,163,969","killing spree,teenage girl,female protagonist,teen angst,black comedy","Awards, 3 wins & 11 nominations"
Frankenstein,James Whale,male,iTunes,tt0021884,100%,,,,,,,,,,,,,,
Double Dragon,James Yukich,male,Netflix,tt0106761,3.5/10,Double Dragon,1994-11-04,James Yukich,"Robert Patrick, Mark Dacascos, Scott Wolf","USA, France, Denmark",English,PG-13,3.8,13374.0,,"$7,850,000 (estimated)","$2,341,309","teenage girl,vigilante,medallion,martial arts,shadow",
Dirty,Chris Fisher,male,Sony Pictures Home Entertainment,tt0439544,4.4/10,Dirty,,Chris Fisher,"Frank Alvarez, Clifton Collins Jr., Brittany Daniel",USA,"English, Spanish",R,5.5,5591.0,37.0,"$3,000,000 (estimated)","$274,245","hood,low budget,partner,drug dealer,internal affairs",
Demon House,Zak Bagans,male,,tt4130484,4.3/10,Demon House,2019-12-16,Zak Bagans,"Zak Bagans, Adam Ahlbrandt, Matthew Mourgides",USA,English,TV-14,4.8,6225.0,,"$22,000,000 (estimated)",,"demon,docudrama,reenactment,haunted house,indiana",
Boyz 2,,,,tt8873348,,,,,,,,,,,,,,,
Two Friends,Francesco Sframeli,male,,tt0333373,,,,,,,,,,,,,,,
The Jack In The Box,,,,,20%,,,,,,,,,,,,,,
The Evening Star,Robert Harling,male,Paramount Pictures,tt0116240,4.8/10,The Evening Star,1996-12-25,Robert Harling,"Shirley MacLaine, Bill Paxton, Juliette Lewis",USA,English,PG-13,5.9,4689.0,,,"$12,767,815","texas,female protagonist,part of duology,scene during opening credits,timeframe 1980s","Awards, 6 wins & 3 nominations"
Prince Among Slaves,Andrea Kalin,female,"Spark Media, Unity Productions Foundation",tt0852992,,Prince Among Slaves,2008-02-04,"Andrea Kalin, Bill Duke","John C. Bailey, Yasiin Bey, Henian Boone",USA,English,PG,7.4,123.0,,"$800,000 (estimated)",,"slavery,prince,african american","Awards, 1 win"
Pawn Sacrifice,Edward Zwick,male,Bleecker Street Cinemas,tt1596345,6.4/10,,,,,,,,,,,,,,
Loaded,Robert A. Johnson,male,GoDigital Media Group,tt0893406,,,,,,,,,,,,,,,
Jathi Ratnalu,,,,tt11306376,,,,,,,,,,,,,,,
Historias lamentables,Javier Fesser,male,Amazon Prime Video,tt11362866,,Historias lamentables,2020-11-19,Javier Fesser,"Pol López, Chani Martín, Laura Gómez-Lacueva",Spain,Spanish,,6.6,1699.0,,,"$12,020","anthology,two word title,anthology film,omnibus film,episodic structure","Awards, 2 wins & 5 nominations"
Caught Up,Darin Scott,male,Netflix,tt0119988,4.1/10,Caught Up,1998-02-27,Darin Scott,"Bokeem Woodbine, Cynda Williams, Damon Saleem",USA,English,R,5.4,995.0,,,"$6,754,958","lionsgate,female rear nudity,female nudity,bare breasts,diamond",
Bank Alarm,Louis J. Gasnier,male,Grand National Films Inc.,tt0028607,,Bank Alarm,1937-06-07,Louis J. Gasnier,"Conrad Nagel, Eleanor Hunt, Vince Barnett",USA,English,Passed,5.3,291.0,,,,male female relationship,
Wonderstruck,Todd Haynes,male,Amazon Studios,tt5208216,6.7/10,Wonderstruck,2017-10-20,Todd Haynes,"Oakes Fegley, Julianne Moore, Michelle Williams",USA,"English, Spanish",PG,6.2,10368.0,71.0,,"$3,285,916","museum,bookstore,deafness,wolf,friend","Awards, 2 wins & 35 nominations"
We Were Children,Tim Wolochatiuk,male,"Eagle Vision, Entertainment One, National Film Board of Canada (NFB)",tt1934472,,We Were Children,2013-03-03,Tim Wolochatiuk,"Lyna Hart, Glen Anaquod, Alicia Hamelin",Canada,"English, Cree, French",,7.7,618.0,,"$16,500,000 (estimated)",,,"Awards, 2 wins & 2 nominations"
The Loved Ones,Sean Byrne,male,Netflix,tt1316536,7.2/10,,,,,,,,,,,,,,
The Fanatic,Fred Durst,male,"Quiver Distribution, Redbox Entertainment, Pretzel Fang Productions",tt7869070,16%,The Fanatic,2020-08-05,Fred Durst,"John Travolta, Devon Sawa, Ana Golja",USA,"English, Spanish",R,4.2,11933.0,18.0,"$18,000,000 (estimated)",,"tied to a bed,fingers shot off,stabbed in the eye,obsessed fan,actor","Awards, 2 wins & 2 nominations"
Stinger,Martin Munthe,male,"Opera Film, Shoreline Entertainment",tt0431418,,Stinger,2005-05-25,Martin Munthe,"Jordi Almeida, James Cagnard, Casey Clark","Sweden, USA",English,R,3.7,1440.0,,,,"no survivors,robot creature,robot,creature feature,rescue team",
Redhead,Helmut Käutner,male,,tt0056429,,,,,,,,,,,,,,,
Never Grow Old,Ivan Kavanagh,male,Saban Capital Group,tt1158939,90%,Never Grow Old,2019-12-27,Ivan Kavanagh,"Emile Hirsch, John Cusack, Déborah François","Ireland, Belgium, France, Luxembourg, UK","English, Italian",R,5.9,4030.0,65.0,,"$106,796","saloon,violence,undertaker,frontier,outlaw","Awards, 3 wins & 3 nominations"
Kadaram Kondan,Rajesh Selva,male,"Raajkamal Films International, Trident Arts",tt9239882,,Kadaram Kondan,2019-07-18,Rajesh M. Selva,"Vikram, Akshara Haasan, Abi Hassan",India,"Tamil, Telugu",Not Rated,5.6,2020.0,,,"$417,940",murder,"Awards, 1 nomination"
Gotti,Kevin Connolly,male,MoviePass,tt1801552,0%,Gotti,2018-06-14,Kevin Connolly,"John Travolta, Spencer Rocco Lofranco, Kelly Preston","Canada, USA",English,R,4.7,15569.0,24.0,"$10,000,000 (estimated)","$6,412,349","gangster,crime lord,based on true story,terminal illness,funeral","Awards, 7 nominations"
Fasten Your Seatbelt,Ha Jung-woo,male,CJ Entertainment,tt3163404,,,,,,,,,,,,,,,
Calls,,,"Infinite Pictures, Rock Fort Entertainment",tt13967988,,Calls,2021-02-26,J. Sabarish,"Aishwarya, Amarendran, Renjini Ananth",India,Tamil,,4.2,253.0,,,,,
Bramma,K. Subash,male,,,,,,,,,,,,,,,,,
The Reef,Andrew Traucki,male,Netflix,tt1320291,80%,,,,,,,,,,,,,,
Numb,Harris Goldberg,male,,tt0202695,,,,,,,,,,,,,,,
Alison,Uga Carlini,female,,tt3949952,,,,,,,,,,,,,,,
Two Night Stand,Max Nichols,male,Netflix,tt2140619,38%,,,,,,,,,,,,,,
Trust Me,Johan Kling,male,Nordisk Film,tt1230196,,,,,,,,,,,,,,,
The Priest,Vladimir Khotinenko,male,,tt1506452,,,,,,,,,,,,,,,
The Pleasure Garden,Alfred Hitchcock,male,,tt0016230,,,,,,,,,,,,,,,
Sultan,Kartal Tibet,male,Yash Raj Films,tt4832640,85%,Sultan,2016-07-06,Ali Abbas Zafar,"Salman Khan, Anushka Sharma, Randeep Hooda",India,"Hindi, English, Haryanvi",Not Rated,7.0,46228.0,,"$13,430,000 (estimated)","$98,251,790","wrestler,wrestling,mixed martial arts,ego,tank top","Awards, 17 wins & 31 nominations"
Sounds of Silence,Peter Borg,male,,tt2032533,,,,,,,,,,,,,,,
Overheard 3,Alan Mak,male,"Bona Entertainment, Pop Movies, Sil-Metropole Organisation",tt3121442,,Overheard 3,2014-05-30,"Felix Chong, Alan Mak","Ching Wan Lau, Louis Koo, Daniel Wu","Hong Kong, China","Cantonese, Mandarin, English",,6.0,1196.0,,,"$53,493,428",,"Awards, 6 wins & 18 nominations"
Overheard 2,Alan Mak,male,"Bona Entertainment, Sil-Metropole Organisation, Pop Movies",tt1852904,,Overheard 2,2011-08-18,"Felix Chong, Alan Mak","Louis Koo, Ching Wan Lau, Daniel Wu","Hong Kong, China",Cantonese,,6.7,1823.0,,"HK$8,000,000 (estimated)","$4,040,142","sequel,cover up,gps,secret society,alzheimer&apos;s disease","Awards, 3 wins & 20 nominations"
Nocturne,Edwin L. Marin,male,RKO Pictures,tt0038782,,,,,,,,,,,,,,,
Nick of Time,John Badham,male,Netflix,tt0113972,32%,Nick of Time,1995-11-22,John Badham,"Johnny Depp, Christopher Walken, Courtney Chase",USA,English,R,6.3,42814.0,,"$33,000,000 (estimated)","$8,175,346","real time,conservatism,vigilantism,character repeats someone else&apos;s dialogue,dark comedy",
Monsieur Lazhar,Philippe Falardeau,male,Music Box Films,tt2011971,8.2/10,Monsieur Lazhar,2012-03-07,Philippe Falardeau,"Mohamed Fellag, Sophie Nélisse, Émilien Néron",Canada,"French, English, Arabic",PG-13,7.5,20471.0,82.0,,"$9,074,711","death of teacher,character name as title,surname in title,boy girl relationship,ontario canada","Nominated for 1 Oscar, 30 wins & 14 nominations total"
Mirugaa,,,,,,,,,,,,,,,,,,,
"Jeff, Who Lives at Home",Mark Duplass,male,Netflix,tt1588334,6.8/10,"Jeff, Who Lives at Home",2012-03-30,"Jay Duplass, Mark Duplass","Jason Segel, Ed Helms, Judy Greer",USA,English,R,6.5,63928.0,60.0,"$10,000,000 (estimated)","$4,704,757","stalking,bathroom,motel room,car crashing into a tree,saving a life","Awards, 1 nomination"
Insanity,David Lee,male,"Sil-Metropole Organisation, Bona Film Group, Film Unlimited",tt4305562,,Insanity,2015-04-02,Kwong-yiu Lee,"Ching Wan Lau, Xiaoming Huang, Fiona Sit","Hong Kong, China","Cantonese, Mandarin",,5.7,467.0,,,"$7,901,512","fall from building,strangling,stabbing,mental illness,attempted suicide","Awards, 1 win & 4 nominations"
Coimbatore Mappillai,C. Ranganathan,male,Shree Vijayalakshmi Movieland,tt6823220,,Coimbatore Mappillai,1996-01-15,C. Ranganathan,"Chaplin Balu, Goundamani, Karan",India,Tamil,,7.3,761.0,,,,"love triangle,hospital,attempted suicide,false accusation,attempted murder",
Bhalobasar Onek Naam,Tarun Majumdar,male,,tt4771706,,,,,,,,,,,,,,,
