title,director,director gender,distributor,id,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,metacriticRating,budget,cumulativeWorldwideGross,keywords,awards
My Boss's Daughter,David Zucker,male,Netflix,tt0270980,8%,My Boss's Daughter,2003-08-22,David Zucker,"Ashton Kutcher, Tara Reid, Andy Richter",USA,English,PG-13,4.7,29579.0,15.0,"$14,000,000 (estimated)","$18,191,005","boss&apos; daughter,crush,reference to o.j. simpson,white panties,kiss","Awards, 2 nominations"
Mystery Men,Kinka Usher,male,Universal Pictures,tt0132347,5.7/10,Mystery Men,1999-08-06,Kinka Usher,"Ben Stiller, Janeane Garofalo, William H. Macy",USA,English,PG-13,6.1,67355.0,65.0,"$68,000,000 (estimated)","$33,461,011","superhero action,superhero,image comics,dark horse comics,based on comic","Awards, 3 nominations"
Once Upon a Time in America,Sergio Leone,male,Netflix,tt0087843,87%,Once Upon a Time in America,1984-06-01,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern","Italy, USA","English, Italian, French, Yiddish, Hebrew",R,8.3,348769.0,75.0,"$30,000,000 (estimated)","$5,473,337","police corruption,gangster,prohibition,female rear nudity,sex scene","Top rated movie #81 | Won 2 BAFTA Awards, 12 wins & 12 nominations total"
Poseidon,Wolfgang Petersen,male,Netflix,tt0409182,5/10,Poseidon,2006-05-12,Wolfgang Petersen,"Richard Dreyfuss, Kurt Russell, Emmy Rossum",USA,"English, Spanish",PG-13,5.7,104969.0,50.0,"$160,000,000 (estimated)","$181,674,817","ocean,reference to poseidon the greek deity,water,passenger,lever","Nominated for 1 Oscar, 7 nominations total"
Rhyme & Reason,Peter Spirer,male,Miramax,tt0120014,6/10,Rhyme & Reason,1997-03-05,Peter Spirer,"B-Real, Kurtis Blow, Da Brat",USA,English,R,7.4,887.0,,,"$1,608,277","the future,rap,independent film",
Same Kind of Different as Me,Michael Carney,male,Paramount Pictures,tt1230168,5.8/10,Same Kind of Different as Me,2017-10-20,Michael Carney,"Greg Kinnear, Renée Zellweger, Djimon Hounsou",USA,English,PG-13,6.6,8194.0,47.0,"$15,000,000 (estimated)","$6,423,605","homeless man,friendship,kindness,husband wife relationship,homelessness","Awards, 1 win & 1 nomination"
School of Rock,Richard Linklater,male,Paramount Pictures,tt0332379,7.7/10,School of Rock,2003-10-03,Richard Linklater,"Jack Black, Mike White, Joan Cusack","USA, Germany",English,PG-13,7.2,303561.0,82.0,"$35,000,000 (estimated)","$131,095,990","rock band,battle of the bands,teacher,student,substitute teacher","Awards, 8 wins & 23 nominations"
Snervous Tyler Oakley,,,Netflix,tt5073746,6/10,Snervous Tyler Oakley,2015-12-11,Amy Rice,"Korey Kuhl, Vinny Grosso, Luke Cutforth",USA,English,PG-13,5.4,475.0,,,,"youtuber,friendship,father son relationship,mother son relationship,divorced parents",
Tears of the Sun,Antoine Fuqua,male,InterCom,tt0314353,4.9/10,Tears of the Sun,2003-03-07,Antoine Fuqua,"Bruce Willis, Cole Hauser, Monica Bellucci",USA,English,R,6.6,122335.0,48.0,"$75,000,000 (estimated)","$86,468,162","nigeria,civil war,refugee,rescue mission,africa","Awards, 2 nominations"
The Blue Lagoon,Frank Launder,male,Columbia Pictures,tt0080453,3.3/10,The Blue Lagoon,1980-07-02,Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern",USA,English,R,5.8,70351.0,31.0,"$4,500,000 (estimated)","$58,853,106","male nudity,coming of age,island,cousin cousin relationship,stranded on an island","Nominated for 1 Oscar, 4 wins & 8 nominations total"
The Golden Child,Michael Ritchie,male,Paramount Pictures,tt0091129,4.2/10,The Golden Child,1986-12-12,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance",USA,English,PG-13,5.9,56320.0,37.0,"$25,000,000 (estimated)","$79,817,937","hare krishna,monastery,humanity,serpent,searcher","Awards, 2 nominations"
The Guns of Navarone,J. Lee Thompson,male,Columbia Pictures,tt0054953,7.9/10,The Guns of Navarone,1961-04-28,J. Lee Thompson,"David Niven, Gregory Peck, Anthony Quinn","UK, USA","English, Greek, German, Latin",Not Rated,7.5,51280.0,72.0,"$6,000,000 (estimated)",,"blockbuster,tied to chair,strapped to a chair,behind enemy lines,island","Won 1 Oscar, 4 wins & 12 nominations total"
The Interview,Seth Rogen,male,Netflix,tt0120714,,,,,,,,,,,,,,,
The Nutty Professor,Tom Shadyac,male,Paramount Pictures,tt0057372,84%,,,,,,,,,,,,,,
Welcome Home Roscoe Jenkins,Malcolm D. Lee,male,Universal Pictures,tt0494652,4.5/10,"Welcome Home, Roscoe Jenkins",2008-02-08,Malcolm D. Lee,"Martin Lawrence, Louis C.K., James Earl Jones",USA,English,PG-13,5.5,14815.0,46.0,"$35,000,000 (estimated)","$43,655,418","neo screwball comedy,georgia usa,timeframe 1980s,overweight woman,woman on top sex",
In the Line of Fire,Wolfgang Petersen,male,Columbia Pictures,tt0107206,7.8/10,In the Line of Fire,1993-07-09,Wolfgang Petersen,"Clint Eastwood, John Malkovich, Rene Russo",USA,English,R,7.2,103911.0,74.0,"$40,000,000 (estimated)","$176,997,168","assassination of president,assassination attempt,assassination plot,interrupted sex,hitman","Nominated for 3 Oscars, 2 wins & 17 nominations total"
