,distributor,id,rating score
444,no_data,tt10662234,no_data
445,01 Distribution,tt1979320,7.5/10
446,no_data,tt9016974,6.8/10
447,Focus Features,tt1730768,6.2/10
448,no_data,tt4815122,6/10
449,no_data,tt9271164,no_data
450,Netflix,tt0313532,no_data
451,Netflix,tt0097775,no_data
452,Universal Pictures,tt0083365,60%
453,no_data,no_data,no_data
454,no_data,tt9633480,no_data
455,no_data,tt13269670,no_data
456,no_data,tt0234793,no_data
457,Next Entertainment World,tt12792418,6.8/10
458,no_data,tt1315590,no_data
459,no_data,tt10121392,4.1/10
460,no_data,no_data,no_data
461,no_data,tt0116980,no_data
462,no_data,tt13297136,no_data
463,Vertical Entertainment,tt9264728,5.3/10
464,ADS Service,tt0765446,4.8/10
465,Universal Pictures,tt0384793,38%
466,no_data,tt0047805,no_data
467,no_data,tt8846176,6.6/10
468,no_data,tt9680512,no_data
469,no_data,no_data,no_data
470,no_data,tt12154638,no_data
471,no_data,tt10307724,no_data
472,Universal Pictures,tt1024255,41%
473,Universal Studios Home Entertainment,tt2114504,2.7/10
474,Netflix,tt1190080,5.2/10
475,Netflix,tt1187043,100%
476,Vidhu Vinod Chopra,tt2122340,no_data
477,FilmDistrict,tt1591095,6/10
478,Microsoft Store,tt5595168,12%
479,Netflix,tt0250494,6.2/10
480,no_data,tt13773882,no_data
481,no_data,tt0117011,4.4/10
482,Warner Bros.,tt0058385,95%
483,Sony Pictures Home Entertainment,tt6014472,no_data
484,Destination Films,tt5090828,no_data
485,Sony Pictures,tt6977240,no_data
486,Netflix,tt1135084,4.6/10
487,Netflix,tt11668994,no_data
488,no_data,tt10963790,no_data
489,Focus Features,tt0253474,8.2/10
490,Netflix,tt0094035,7/10
491,TriStar Pictures,tt0176269,5%
492,Reliance Entertainment,tt4303010,5.5/10
493,Netflix,tt5635638,no_data
494,Warner Bros.,tt1068680,5.3/10
495,CBS Films,tt6938828,78%
496,20th Century Studios,tt2304771,6.2/10
497,Fórum Hungary,tt1212450,6.5/10
498,no_data,tt11388278,5/10
499,Netflix,tt0159382,7.6/10
500,Netflix,tt11142762,no_data
501,Sony Pictures,tt13932162,no_data
502,Lucky Red Distribuzione,tt2431286,7.7/10
503,Zipporah Films,tt0065853,no_data
504,no_data,tt9624766,28%
505,no_data,no_data,no_data
506,no_data,no_data,no_data
507,megogo.net,tt13465592,no_data
508,no_data,tt14111726,no_data
509,Vertical Entertainment,tt9387250,5.4/10
510,Global Road Entertainment,tt3532608,5.3/10
511,no_data,tt11474480,no_data
512,no_data,no_data,no_data
513,Universal Pictures,tt2473602,6.9/10
514,Netflix,tt1615065,5.8/10
515,no_data,tt11803618,no_data
516,Paramount Pictures,tt0006382,no_data
517,Netflix,tt4324242,no_data
518,no_data,tt13045890,no_data
519,no_data,tt2066951,no_data
520,no_data,no_data,no_data
521,no_data,tt8747160,7.3/10
522,Netflix,tt8435324,6.8/10
523,FilmOne Entertainment,tt11829884,no_data
524,Netflix,tt11734264,no_data
525,no_data,no_data,no_data
526,FilmDistrict,tt1904996,40%
