id,title,director,director gender,distributor,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,budget,cumulativeWorldwideGross,keywords,awards,relese_year
tt5311790,The A Word,Susan Tully,female,BBC One,89,The A Word,2016-07-13,,"Max Vento, Lee Ingleby, Christopher Eccleston",UK,English,TV-MA,7.8,2167,,,"manchester england,autism,autism spectrum,reference to doctor who,northern humour","Awards, 3 nominations",2016.0
tt0272412,Teen Wolf,no_data,no_data,CBS,,Teen Wolf,1986-09-13,,"Townsend Coleman, James Hampton, Don Most","USA, Australia",English,TV-Y7,5.7,335,,,"werewolf family,psychotronic series,animal name in title,animal in title,surrealism",,1986.0
tt0071063,Tattletales,Paul Alter,male,CBS,,Tattletales,1974-02-18,,"Bert Convy, Gene Wood, Jack Clark",USA,English,TV-PG,7,276,,,"1970s,panelist,closed circuit tv,embarassing question,headphones","Awards, 2 nominations",1974.0
tt11117570,Tandav,Ali Abbas Zafar,male,"Offside Entertainment, NSA Picture",,Tandav,2021-01-14,,"Saif Ali Khan, Dimple Kapadia, Mohd. Zeeshan Ayyub",India,Hindi,TV-14,4.5,60250,,,"political drama,indian politics,power",,2021.0
tt8741290,Tales from the Loop,no_data,no_data,Amazon Prime Video,86,Tales from the Loop,2020-04-03,,"Daniel Zolghadri, Paul Schneider, Rebecca Hall",USA,English,TV-MA,7.4,19019,,,"science,retrofuturism,dystopian sci fi,nudity,lgbt","Nominated for 2 Primetime Emmys, 10 nominations total",2020.0
tt5324116,Swedish Dicks,no_data,no_data,Pop,100,Swedish Dicks,2017-08-09,,"Peter Stormare, Johan Glans, Vivian Bang","Sweden, USA","English, Swedish",TV-MA,6.7,3377,,,"investigator,sweden,criminality","Awards, 1 nomination",2017.0
no_data,Superheroes: A Never-Ending Battle,no_data,no_data,no_data,no_data,,,,,,,,,,,,,,
tt1740717,Superbook,no_data,no_data,"Christian Broadcasting Network (CBN), Daysview Digital Image, Spun Productions",,Superbook,2011-09-01,,"Shannon Chan-Kent, Sam Vincent, Cathy Weseluck",USA,English,,6.3,284,,,"robot,satan,jesus christ character,noah&apos;s ark,one word title","Awards, 1 nomination",2011.0
tt0429438,Strange Love,no_data,no_data,VH1,,Strange Love,2005-01-09,,"Brigitte Nielsen, Flavor Flav, Chuck D",USA,English,,2.4,146,,,"rap,model,actress,washed up star,spin off",,2005.0
tt2128211,Storage Wars: Texas,no_data,no_data,A&E,,Storage Wars: Texas,2011-12-06,,"Walt Cade, Ricky Smith, Bubba Smith",USA,English,TV-PG,5,1340,,,non fiction,,2011.0
