id,title,director,director gender,distributor,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,budget,cumulativeWorldwideGross,keywords,awards,relese_year
tt2866360,Coherence,James Ward Byrkit,male,Hulu,7.3/10,Coherence,2014-08-06,James Ward Byrkit,"Emily Baldoni, Maury Sterling, Nicholas Brendon","USA, UK",English,Not Rated,7.2,126949.0,"$50,000 (estimated)","$139,745","parallel universe,comet,dinner party,quantum physics,paranoia","Awards, 5 wins & 6 nominations",2014.0
tt0080905,Clan of the White Lotus,Lo Lieh,male,Shaw Brothers Studio,,Fists of the White Lotus,1980-01-01,Lieh Lo,"Chia-Hui Liu, Lieh Lo, Lung-Wei Wang",Hong Kong,"Cantonese, Mandarin",PG-13,7.1,1751.0,,,"kung fu,grindhouse film,martial arts,shaolin,buddhist monk",,1980.0
tt10703826,Citizen K,Alex Gibney,male,,7.7/10,,,,,,,,,,,,,,
tt0169685,Cider with Rosie,Charles Beeson,male,,,,,,,,,,,,,,,,
tt10165624,Christmas Coupon,Daniel Knudsen,male,,,Christmas Coupon,2019-12-02,Daniel Knudsen,"Courtney Mathews, Aaron Noble, Robert Laenen",USA,English,Not Rated,3.3,216.0,,,"christmas,ice skating,two word title,christmas in title,holiday in title",,2019.0
tt11457262,Choricha Mamla,Priyadarshan,male,,,Choricha Mamla,2020-01-31,Priyadarshan Jadhav,"Hemant Dhome, Balachandra Gaekwad, Kshitee Jog",India,Marathi,Not Rated,6.4,254.0,,,house,,2020.0
tt3481000,Chocolate City,Jean-Claude La Marre,male,,4.4/10,Chocolate City,2015-05-22,Jean-Claude La Marre,"Robert Ri'chard, Tyson Beckford, DeRay Davis",USA,English,R,3.8,1141.0,,"$212,662","ladies night,male stripper,knocked out,secret,newcomer",,2015.0
tt9165332,Chitralahari,Kishore Tirumala,male,,,Chitralahari,2019-04-12,Thirumala Kishore,"Kalyani Priyadarshan, Sai Dharam Tej, Rohini Hattangadi",India,Telugu,Not Rated,7.1,2327.0,,"$32,849",search,"Awards, 2 nominations",2019.0
tt12311866,Children of the Corn,Fritz Kiersch,male,,,,,,,,,,,,,,,,
tt4819510,Chicken People,Nicole Lucas Haimes,female,CMT,100%,Chicken People,2016-09-23,Nicole Lucas Haimes,"Betty Caraker, Bob Caraker, Brian Caraker",USA,English,,7.0,838.0,,"$71,723","chickens,competition,singing,chicken breeder,pet chicken","Awards, 2 nominations",2016.0
tt10944486,Chick Fight,Paul Leyden,male,,5/10,,,,,,,,,,,,,,
tt8983164,Chhalaang,Hansal Mehta,male,Amazon Prime Video,5.8/10,Chhalaang,2020-11-13,Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuccha, Mohd. Zeeshan Ayyub",India,Hindi,TV-14,6.8,19282.0,,,"town,sports coach,kabaddi,basketball,coaching","Awards, 1 nomination",2020.0
tt0026203,Cheers of the Crowd,Vin Moore,male,,,Cheers of the Crowd,1935-08-05,Vin Moore,"Russell Hopton, Irene Ware, Harry Holman",USA,English,Approved,5.7,36.0,,,"carnival,publicity,fugitive",,1935.0
tt0109403,Chasers,Dennis Hopper,male,Warner Bros.,4.1/10,Chasers,1994-04-22,Dennis Hopper,"Tom Berenger, Erika Eleniak, William McNamara",USA,English,R,5.1,6668.0,,"$1,596,687","female nudity,handcuffs,public nudity,large breasts,breast kissing",,1994.0
tt0065528,Catch-22,Mike Nichols,male,Paramount Pictures,7.2/10,Catch-22,1970-06-24,Mike Nichols,"Alan Arkin, Martin Balsam, Richard Benjamin",USA,"English, Italian",R,7.1,25154.0,"$18,000,000 (estimated)",,"bomber,based on novel,world war two,u.s. army air force,u.s. soldier","Nominated for 2 BAFTA Awards, 5 nominations total",1970.0
tt2403558,Catch Hell,Ryan Phillippe,male,Entertainment One,0%,Catch Hell,2014-11-20,Ryan Phillippe,"Ryan Phillippe, Ian Barford, Stephen Louis Grush",USA,English,Not Rated,5.4,2962.0,"$2,500,000 (estimated)","$37,166","attempted rape,kidnapping,closeted gay,twitter,actor",,2014.0
tt0077303,Casey's Shadow,Martin Ritt,male,Columbia Pictures,78%,Casey's Shadow,,Martin Ritt,"Walter Matthau, Alexis Smith, Robert Webber",USA,English,PG,6.1,644.0,,,"horse movie,horse sport,outdoor sport,racehorse,african american",,
tt0027425,Caryl of the Mountains,Bernard B. Ray,male,Reliable Pictures,,Caryl of the Mountains,1936-03-27,Bernard B. Ray,"Rin Tin Tin Jr., Francis X. Bushman Jr., Lois Wilde",USA,English,Approved,4.8,79.0,,,,,1936.0
